algorithm,sent,transmitted,received,avg_time
gossip,900,873477,900,734.2855555555556
gossip,900,1960845,900,1876.1377777777777
gossip,900,2757795,900,3392.2555555555555
gossip,900,2865841,900,2977.7477777777776
gossip,900,1332024,900,1254.3422222222223
gossip,900,2296713,900,1668.0833333333333
gossip,900,1938377,900,2269.5
gossip,900,1411031,900,2450.8288888888887
gossip,900,3384143,900,5713.687777777778
gossip,900,1893703,900,2263.697777777778
gossip,900,767221,900,834.0211111111112
gossip,900,2021413,900,2338.0344444444445
gossip,900,3119742,900,3015.588888888889
gossip,900,1385167,900,2027.19
gossip,900,2088149,900,2100.3277777777776
gossip,900,1520469,900,2785.632222222222
gossip,900,2243407,900,5088.984444444444
gossip,900,3214708,900,4333.615555555555
gossip,900,2759002,900,2774.2366666666667
gossip,900,1086505,900,1789.2866666666666
gossip,900,2336077,900,3811.3355555555554
gossip,900,1476984,900,1364.4133333333334
gossip,900,1873998,900,1744.1788888888889
gossip,900,2255148,900,3038.5911111111113
gossip,900,1003669,900,803.2522222222223
dsdv,900,60492,900,4527.845555555556
dsdv,900,67145,900,5206.2444444444445
dsdv,900,75815,900,2818.39
dsdv,900,113635,900,5752.101111111111
dsdv,900,68307,900,3887.298888888889
dsdv,900,74843,900,3920.443333333333
dsdv,900,51599,900,1295.34
dsdv,900,73284,900,5172.84
dsdv,900,80115,900,6063.942222222222
dsdv,900,103178,900,4755.015555555556
dsdv,900,81181,900,5790.886666666666
dsdv,900,86826,900,4532.672222222222
dsdv,900,71410,900,2425.998888888889
dsdv,900,74338,900,1097.6666666666667
dsdv,900,67959,900,3934.447777777778
dsdv,900,71203,900,2231.297777777778
dsdv,900,103795,900,2960.24
dsdv,900,82876,900,3858.116666666667
dsdv,900,79237,900,3975.01
dsdv,900,64034,900,2876.1944444444443
dsdv,900,83732,900,4478.571111111111
dsdv,900,93369,900,6857.123333333333
dsdv,900,101412,900,3974.1044444444447
dsdv,900,100508,900,3486.8
dsdv,900,91852,900,4890.95
dsdv,900,104061,900,2894.6044444444447
dsdv,900,98855,900,4164.578888888889
dsdv,900,71750,900,2114.6944444444443
dsdv,900,81297,900,2454.3844444444444
dsdv,900,52355,900,2147.7233333333334
dsdv,900,75271,900,3032.148888888889
dsdv,900,79932,900,5439.346666666666
dsdv,900,78635,900,4730.193333333334
dsdv,900,76277,900,6568.674444444445
dsdv,900,63096,900,1958.7166666666667
dsdv,900,61350,900,5739.741111111111
dsdv,900,65565,900,4660.775555555556
dsdv,900,96502,900,3256.952222222222
dsdv,900,84180,900,5827.45
dsdv,900,76941,900,4054.1766666666667
dsdv,900,65425,900,3274.8655555555556
dsdv,900,85992,900,4841.082222222222
dsdv,900,47262,900,1804.7633333333333
dsdv,900,74620,900,5288.111111111111
dsdv,900,66886,900,3716.632222222222
dsdv,900,52931,900,3188.12
dsdv,900,78280,900,994.9277777777778
dsdv,900,84580,900,6589.276666666667
dsdv,900,85877,894,5373.194630872483
dsdv,900,107606,900,5690.082222222222
dsdv,300,24510,300,5331.116666666667
dsdv,300,27658,300,2246.02
dsdv,300,38143,300,4162.906666666667
dsdv,300,32922,300,6096.736666666667
dsdv,300,22554,300,3121.173333333333
dsdv,300,33006,300,1109.18
dsdv,300,43998,300,4721.923333333333
dsdv,300,33652,300,6241.846666666666
dsdv,300,30000,300,3587.69
dsdv,300,23475,300,2318.3333333333335
dsdv,300,34971,300,3801.36
dsdv,300,25372,300,2467.366666666667
dsdv,300,22779,300,2771.5866666666666
dsdv,300,44819,300,5791.763333333333
dsdv,300,35695,300,4195.95
dsdv,300,26058,300,5232.383333333333
dsdv,300,25563,300,1795.3966666666668
dsdv,300,38535,300,5008.606666666667
dsdv,300,24316,300,3890.97
dsdv,300,33931,300,5026.32
dsdv,300,27660,300,2055.463333333333
dsdv,300,28662,300,4114.68
dsdv,300,29250,300,3960.7066666666665
dsdv,300,32033,300,3805.3333333333335
dsdv,300,26081,300,3093.6033333333335
dsdv,300,32738,300,3706.9866666666667
dsdv,300,29276,300,5174.7733333333335
dsdv,300,26642,300,6887.55
dsdv,300,26229,300,3277.4133333333334
dsdv,300,33320,300,5960.916666666667
dsdv,300,28663,300,2156.193333333333
dsdv,300,38181,300,4235.89
dsdv,300,32028,300,4737.966666666666
dsdv,300,33785,300,7353.5
dsdv,300,25346,300,1892.5333333333333
dsdv,300,34345,300,6854.163333333333
dsdv,300,33890,300,4819.3966666666665
dsdv,300,30649,300,3302.7966666666666
dsdv,300,21281,300,326.6
dsdv,300,23600,300,2808.153333333333
dsdv,300,21861,300,2694.2433333333333
dsdv,300,34607,300,5426.38
dsdv,300,27329,300,2142.4066666666668
dsdv,300,13645,300,181.47666666666666
dsdv,300,29545,300,3461.4966666666664
dsdv,300,45433,300,4700.98
dsdv,300,30841,300,5049.336666666667
dsdv,300,29460,300,3860.6433333333334
dsdv,300,26903,300,862.1866666666666
dsdv,300,23959,300,2484.3366666666666
dsdv,300,35613,300,5735.99
dsdv,300,28426,300,3492.463333333333
dsdv,300,23124,300,3001.86
dsdv,300,25680,300,3520.36
dsdv,300,39608,300,7895.576666666667
dsdv,300,23592,300,3045.306666666667
dsdv,300,28675,300,2180.0333333333333
dsdv,300,35406,300,7599.74
dsdv,300,36417,300,5775.65
dsdv,300,25477,300,1907.23
dsdv,300,24607,300,3523.1866666666665
dsdv,300,25874,300,4110.4366666666665
dsdv,300,42992,300,3290.4133333333334
dsdv,300,25128,300,2716.826666666667
dsdv,300,25626,300,3115.03
dsdv,300,27306,300,453.31
dsdv,300,35665,300,7800.32
dsdv,300,21840,300,2336.076666666667
dsdv,300,32351,300,3907.116666666667
dsdv,300,27429,300,2965.93
dsdv,300,44620,300,5113.003333333333
dsdv,300,24575,300,5469.933333333333
dsdv,300,30622,300,878.2833333333333
dsdv,300,22039,300,2054.8866666666668
dsdv,300,38394,300,5503.463333333333
dsdv,300,49354,300,7187.873333333333
dsdv,300,40073,300,8316.746666666666
dsdv,300,33968,300,3638.3933333333334
dsdv,300,23285,300,4772.99
dsdv,300,28925,300,4538.086666666667
dsdv,300,36065,300,3812.36
dsdv,300,29611,300,4633.263333333333
dsdv,300,51630,300,7122.916666666667
dsdv,300,35882,300,5139.05
dsdv,300,33502,300,5189.106666666667
dsdv,300,34259,300,4403.81
dsdv,300,33109,300,5293.153333333334
dsdv,300,31202,300,3066.32
dsdv,300,25778,300,2061.2566666666667
dsdv,300,41213,300,4848.43
dsdv,300,31011,300,2728.26
dsdv,300,51792,300,6426.843333333333
dsdv,300,46600,294,3489.309523809524
dsdv,300,37578,300,3578.36
dsdv,300,27097,300,879.7766666666666
dsdv,300,26869,300,3646.28
dsdv,300,42619,300,5136.23
dsdv,300,30834,300,3790.3633333333332
dsdv,300,27311,300,2403.346666666667
dsdv,300,28855,300,2825.5
